PersonID,Latitude,Longitude,DateTime,LatitudeGrouping,LongitudeGrouping,TimeHour
204,-37.810351,144.93698,2020-04-11 12:05,-136123,521942,2020-04-11 12:00
204,-37.798343,144.960716,2020-04-11 12:55,-136195,521840,2020-04-11 12:00
204,-37.867555,144.976864,2020-04-11 13:46,-136123,521942,2020-04-11 13:00
204,-37.824406,144.989831,2020-04-11 14:37,-136057,521635,2020-04-11 14:00
205,-37.83546,145.004261,2020-04-11 8:24,-136166,521663,2020-04-11 8:00
205,-37.920419,145.123584,2020-04-11 9:49,-136022,521826,2020-04-11 9:00
205,-37.831744,144.9558,2020-04-11 11:13,-136335,521942,2020-04-11 11:00
205,-37.811778,144.98404,2020-04-11 12:38,-136271,521564,2020-04-11 12:00
205,-37.920419,145.123584,2020-04-11 14:03,-136091,521898,2020-04-11 14:00
205,-37.803018,144.971759,2020-04-11 15:27,-136220,521790,2020-04-11 15:00
205,-37.810351,144.93698,2020-04-11 16:52,-136106,521845,2020-04-11 16:00
206,-37.846138,144.991808,2020-04-11 7:19,-136168,521963,2020-04-11 7:00
206,-37.838711,144.94188,2020-04-11 7:38,-136190,521904,2020-04-11 7:00
206,-37.840885,144.926946,2020-04-11 7:57,-136195,521840,2020-04-11 7:00
206,-37.870704,144.983914,2020-04-11 8:16,-136390,522296,2020-04-11 8:00
206,-37.885982,145.082342,2020-04-11 8:35,-136168,521963,2020-04-11 8:00
207,-37.811778,144.98404,2020-04-11 10:06,-136123,521942,2020-04-11 10:00
207,-37.840041,144.936677,2020-04-11 13:12,-136222,521791,2020-04-11 13:00
208,-37.842836,144.961897,2020-04-11 7:57,-136190,521904,2020-04-11 7:00
208,-37.841619,144.939541,2020-04-11 8:55,-136271,521564,2020-04-11 8:00
208,-37.83546,145.004261,2020-04-11 9:53,-136075,521858,2020-04-11 9:00
208,-37.885982,145.082342,2020-04-11 10:50,-136222,521791,2020-04-11 10:00
208,-37.867555,144.976864,2020-04-11 11:48,-136230,521782,2020-04-11 11:00
208,-37.798343,144.960716,2020-04-11 12:46,-136247,521970,2020-04-11 12:00
208,-37.840885,144.926946,2020-04-11 13:44,-136390,522296,2020-04-11 13:00
209,-37.867555,144.976864,2020-04-11 7:41,-136132,521925,2020-04-11 7:00
209,-37.793484,144.898659,2020-04-11 8:23,-136514,522444,2020-04-11 8:00
209,-37.885982,145.082342,2020-04-11 9:05,-136324,521916,2020-04-11 9:00
209,-37.793484,144.898659,2020-04-11 9:47,-136225,521772,2020-04-11 9:00
209,-37.798343,144.960716,2020-04-11 10:28,-136188,521904,2020-04-11 10:00
209,-37.793484,144.898659,2020-04-11 11:10,-136195,521840,2020-04-11 11:00
209,-37.783753,144.951833,2020-04-11 11:52,-136057,521635,2020-04-11 11:00
210,-37.830296,144.973453,2020-04-11 7:35,-136123,521942,2020-04-11 7:00
210,-37.810351,144.93698,2020-04-11 8:10,-136057,521635,2020-04-11 8:00
210,-37.810351,144.93698,2020-04-11 8:45,-136190,521904,2020-04-11 8:00
210,-37.803018,144.971759,2020-04-11 9:20,-136118,521773,2020-04-11 9:00
210,-37.793484,144.898659,2020-04-11 9:56,-136022,521826,2020-04-11 9:00
210,-37.816634,144.993007,2020-04-11 10:31,-136324,521916,2020-04-11 10:00
210,-37.852894,144.87908,2020-04-11 11:06,-136075,521858,2020-04-11 11:00
210,-37.810351,144.93698,2020-04-11 11:41,-136235,521862,2020-04-11 11:00
210,-37.846138,144.991808,2020-04-11 12:17,-136335,521942,2020-04-11 12:00
211,-37.798343,144.960716,2020-04-11 8:29,-136247,521970,2020-04-11 8:00
211,-37.793484,144.898659,2020-04-11 9:59,-136247,521970,2020-04-11 9:00
211,-37.803018,144.971759,2020-04-11 11:29,-136075,521858,2020-04-11 11:00
211,-37.920419,145.123584,2020-04-11 12:59,-136271,521564,2020-04-11 12:00
211,-37.798343,144.960716,2020-04-11 14:29,-136247,521970,2020-04-11 14:00
211,-37.867555,144.976864,2020-04-11 15:59,-136075,521858,2020-04-11 15:00
211,-37.841619,144.939541,2020-04-11 17:29,-136247,521970,2020-04-11 17:00
211,-37.885982,145.082342,2020-04-11 18:59,-136050,521592,2020-04-11 18:00
212,-37.920419,145.123584,2020-04-11 9:41,-136228,521737,2020-04-11 9:00
212,-37.831744,144.9558,2020-04-11 12:22,-136106,521845,2020-04-11 12:00
212,-37.852894,144.87908,2020-04-11 15:03,-136271,521564,2020-04-11 15:00
212,-37.846138,144.991808,2020-04-11 17:45,-136140,521974,2020-04-11 17:00
213,-37.870704,144.983914,2020-04-11 7:56,-136050,521592,2020-04-11 7:00
213,-37.83546,145.004261,2020-04-11 8:53,-136022,521826,2020-04-11 8:00
213,-37.852894,144.87908,2020-04-11 9:49,-136075,521858,2020-04-11 9:00
213,-37.846138,144.991808,2020-04-11 10:46,-136225,521772,2020-04-11 10:00
213,-37.783753,144.951833,2020-04-11 11:42,-136190,521904,2020-04-11 11:00
213,-37.867555,144.976864,2020-04-11 12:39,-136188,521904,2020-04-11 12:00
213,-37.793484,144.898659,2020-04-11 13:35,-136247,521970,2020-04-11 13:00
213,-37.823695,144.906504,2020-04-11 14:32,-136022,521826,2020-04-11 14:00
214,-37.838711,144.94188,2020-04-11 7:31,-136022,521826,2020-04-11 7:00
214,-37.823695,144.906504,2020-04-11 8:03,-136228,521737,2020-04-11 8:00
214,-37.823695,144.906504,2020-04-11 8:34,-136335,521942,2020-04-11 8:00
